"pair","ols_out","transfers","auc","coverage","beta_cv"
"Broward -> San Diego (price)",0.647659823837359,TRUE,0.734127847264516,0.912422413060114,0.497088324989727
"Chicago -> LA (price)",0.631821802654044,TRUE,0.640713897757826,0.940760108813353,0.662879119734848
"Queens -> Brooklyn (311)",0.300748981980678,TRUE,0.654057778714529,0.9654,0.74741536446056
"Queens -> Brooklyn (trees)",0.275455015866969,TRUE,0.663743205446593,1,0.634626664467749
"Broward -> San Diego (reviews)",0.210373730667383,TRUE,0.765481724218299,0.942606921180172,0.646031955484358
"LA -> NYC (price)",0.0616784905118463,TRUE,0.74934352978303,0.958037686198957,0.459125551703702
"Bronx -> Brooklyn (bldg age)",0.0476545108337996,FALSE,0.689467080203722,0.93508,1.33287887171426
"Chicago -> Nashville (price)",-0.0347322121267968,FALSE,0.776086859781738,0.873193374828568,0.662879119734848
"Broward -> San Diego (avail)",-0.0411133752968202,FALSE,0.791781416781417,0.910296743474194,1.46539824964477
"Queens -> Brooklyn (bldg age)",-0.139463739546659,FALSE,0.703387080483724,0.91456,1.4803831117582
