"fit","predict","rsq_in","rsq_out","bias","cal_slope"
"bronx","brooklyn",0.0680014294020234,0.0476545108337996,0.258386014711135,0.896822716714795
"bronx","manhattan",0.0680014294020234,-0.652539711575753,1.34099383896285,0.307954235160381
"bronx","queens",0.0680014294020234,-0.472715974015246,-0.403627472731216,0.0642162489709551
"bronx","statenisland",0.0680014294020234,-0.616718087930811,-0.821820657157737,0.105870923720986
"brooklyn","bronx",0.1657566129016,-0.00586153311888604,-0.298995381309912,0.531086215794061
"brooklyn","manhattan",0.1657566129016,-2.39762796550866,3.54752220690545,0.256317747561227
"brooklyn","queens",0.1657566129016,-0.211847460897902,-0.820292208174931,0.378920467312957
"brooklyn","statenisland",0.1657566129016,-0.446755988760268,-1.33888324343261,0.235750070920682
"manhattan","bronx",0.333913190288043,-0.227387836226567,-1.00415717594149,0.273576985861281
"manhattan","brooklyn",0.333913190288043,-0.140643248451524,-0.854210629618684,0.516320087498224
"manhattan","queens",0.333913190288043,-0.623571013340132,-1.3563678990386,0.196255118624164
"manhattan","statenisland",0.333913190288043,-0.774009494275699,-1.35000627626177,-0.373315603274635
"queens","bronx",0.138513234493545,-0.203433683582338,0.830069201783289,0.194015250698186
"queens","brooklyn",0.138513234493545,-0.139463739546659,0.909708694157585,0.572179595773089
"queens","manhattan",0.138513234493545,-0.465751772322418,1.97385770990995,0.143380203587311
"queens","statenisland",0.138513234493545,0.0313736254635809,-0.48360339712382,2.03061291794004
"statenisland","bronx",0.232432060152047,-0.531635220210688,1.68413624771266,0.162557212656237
"statenisland","brooklyn",0.232432060152047,-0.839487598828931,1.98463616359412,0.428390580211919
"statenisland","manhattan",0.232432060152047,-1.32902114591934,2.84395113680265,-0.468927153597218
"statenisland","queens",0.232432060152047,-0.176559377651418,0.777870185779858,0.400908373685301
