"design","label","fold","arm","mae","rmse","rsq","rsq_trad"
"random","A",1,"OLS",0.805496749429194,1.00845815099724,0.334200740935207,0.333011130045047
"random","A",1,"GraphSAGE",0.809425389318111,1.01301103862523,0.329198744628963,0.326975023687101
"random","A",1,"GraphSAGE + LayerNorm",0.813906012327157,1.02205594700758,0.315823091022797,0.314902843560673
"random","A",2,"OLS",0.785028685590089,0.987991899136967,0.37136329505754,0.370889254935903
"random","A",2,"GraphSAGE",0.78651040984915,0.993327151542848,0.364375003585701,0.364076390909595
"random","A",2,"GraphSAGE + LayerNorm",0.799873997724376,1.00649840742735,0.348325485785608,0.347100223973256
"random","A",3,"OLS",0.797389813920422,0.994085141616417,0.395314311347947,0.393103651985441
"random","A",3,"GraphSAGE",0.803360785010553,1.00071009049846,0.385068080240325,0.384987536609354
"random","A",3,"GraphSAGE + LayerNorm",0.81854369287874,1.0171790722889,0.365329352721782,0.364578081206079
"random","A",4,"OLS",0.824279450901802,1.03586923834906,0.31096239411528,0.308163099774899
"random","A",4,"GraphSAGE",0.827995992395547,1.04625568474624,0.303372842728444,0.294219734125451
"random","A",4,"GraphSAGE + LayerNorm",0.833121824277183,1.04757750467061,0.29510230555421,0.292435268349811
"random","A",5,"OLS",0.792592567895153,0.992675500525709,0.342325458917613,0.341014954720706
"random","A",5,"GraphSAGE",0.792792712377215,0.994945707898059,0.33911626318759,0.337997365610467
"random","A",5,"GraphSAGE + LayerNorm",0.812269719053799,1.02016591808398,0.306316844421004,0.304010684057706
"random","A",6,"OLS",0.778117320710331,0.975097415677414,0.401955292507812,0.398789181415023
"random","A",6,"GraphSAGE",0.787062614936663,0.984656691786282,0.393803570047597,0.386943573177703
"random","A",6,"GraphSAGE + LayerNorm",0.795986012612667,0.998173730093962,0.371624394326704,0.369996375538958
"random","A",1,"XGBoost",0.933587055641533,1.16401750802235,0.198837541564921,0.111368199172375
"random","A",2,"XGBoost",0.900362421020984,1.14413960116196,0.228610871606843,0.156318801340718
"random","A",3,"XGBoost",0.937613801520898,1.16916939467572,0.225742874841613,0.160497032373298
"random","A",4,"XGBoost",0.921628955854118,1.16103717543871,0.215256294180556,0.130867277996582
"random","A",5,"XGBoost",0.913799483113667,1.15477979961688,0.197933414893095,0.108216755083865
"random","A",6,"XGBoost",0.885822575093685,1.10897353505633,0.268147948585288,0.222369760832902
"random","A",1,"XGBoost + lags",0.901940298563695,1.12892688487908,0.225530920709799,0.164138239845437
"random","A",2,"XGBoost + lags",0.878817114429057,1.10913892978243,0.255527556881566,0.207147804125497
"random","A",3,"XGBoost + lags",0.903557141000612,1.12857742641244,0.25970059357851,0.217777907355554
"random","A",4,"XGBoost + lags",0.907137949769439,1.13597605617985,0.236316204425646,0.167982991151898
"random","A",5,"XGBoost + lags",0.90368554187813,1.13075986843867,0.214382435612754,0.144929890319929
"random","A",6,"XGBoost + lags",0.886187748011598,1.10893820425608,0.260549322710248,0.222419309104572
"random","B | Ix=0.0",1,"OLS",2.01529395061431,2.92558292771209,0.788851209692119,0.787870275288736
"random","B | Ix=0.0",1,"GraphSAGE",0.902485617976327,1.1404772672388,0.967914128542307,0.967763345218525
"random","B | Ix=0.0",1,"GraphSAGE + LayerNorm",0.918397864247704,1.19089485781927,0.965153337446487,0.964850144629311
"random","B | Ix=0.0",2,"OLS",2.15181687691328,3.01457327686765,0.768010108959729,0.76755631645975
"random","B | Ix=0.0",2,"GraphSAGE",0.862103735603602,1.08369581886765,0.970042002730845,0.969961319286809
"random","B | Ix=0.0",2,"GraphSAGE + LayerNorm",0.882341455977687,1.10948695745438,0.968589278269019,0.968514509623159
"random","B | Ix=0.0",3,"OLS",2.10612387554833,2.9100318885749,0.792939436665874,0.792878075554109
"random","B | Ix=0.0",3,"GraphSAGE",0.905615068831265,1.13887093051025,0.968478426065586,0.968276609874633
"random","B | Ix=0.0",3,"GraphSAGE + LayerNorm",0.937324356695329,1.19931485789811,0.964884107344531,0.964819905269769
"random","B | Ix=0.0",4,"OLS",2.13257334405311,3.11394183712228,0.753282265537896,0.75310356729927
"random","B | Ix=0.0",4,"GraphSAGE",0.865225775875355,1.11774571993488,0.968191308106567,0.968188814569391
"random","B | Ix=0.0",4,"GraphSAGE + LayerNorm",0.87955029574441,1.1514953332676,0.966253679481972,0.966238775756536
"random","B | Ix=0.0",5,"OLS",1.9647966344455,2.7519133283305,0.793043353668224,0.792266716743845
"random","B | Ix=0.0",5,"GraphSAGE",0.873089261078288,1.07967779654043,0.968142222138937,0.968023942041118
"random","B | Ix=0.0",5,"GraphSAGE + LayerNorm",0.92549288913018,1.16992643663547,0.962476839128493,0.962454863164058
"random","B | Ix=0.0",6,"OLS",2.01596259370554,2.87943284866777,0.777454282976029,0.776525844468062
"random","B | Ix=0.0",6,"GraphSAGE",0.86596663059132,1.09752605232627,0.967801485491053,0.967532931948663
"random","B | Ix=0.0",6,"GraphSAGE + LayerNorm",0.895287434683131,1.13500687217217,0.965474236200606,0.965277548704471
"random","B | Ix=0.0",1,"XGBoost",1.06243942490006,1.35517559563002,0.954615147451549,0.954483606150234
"random","B | Ix=0.0",2,"XGBoost",0.99507353194065,1.25905082505375,0.95950165128113,0.959453573616013
"random","B | Ix=0.0",3,"XGBoost",1.03867546821857,1.32759908584391,0.957199004539032,0.956891345706243
"random","B | Ix=0.0",4,"XGBoost",0.99375765087547,1.26893752305471,0.959013758391288,0.95900090202851
"random","B | Ix=0.0",5,"XGBoost",1.01399421853079,1.30026957886763,0.953671358219102,0.953622921632928
"random","B | Ix=0.0",6,"XGBoost",0.992185660131535,1.26883432996646,0.956689267983766,0.956606644301539
"random","B | Ix=0.0",1,"XGBoost + lags",1.05954216496386,1.35860198672614,0.954389074440731,0.954253150221263
"random","B | Ix=0.0",2,"XGBoost + lags",1.00198098672359,1.27381302563901,0.95855395382929,0.958497196871785
"random","B | Ix=0.0",3,"XGBoost + lags",1.04433665387313,1.34176183878052,0.956228878331565,0.955966678289357
"random","B | Ix=0.0",4,"XGBoost + lags",1.00866278665435,1.29335020408092,0.957443506384167,0.957408190237363
"random","B | Ix=0.0",5,"XGBoost + lags",1.03458829876754,1.32223995881322,0.952211071632447,0.952042433549251
"random","B | Ix=0.0",6,"XGBoost + lags",1.00657104137784,1.30887276438348,0.954019939210968,0.953824856172996
"random","B | Ix=0.4",1,"OLS",2.06567664362221,2.88484405698774,0.786244381611636,0.785925042860441
"random","B | Ix=0.4",1,"GraphSAGE",0.91482117492958,1.16257369596974,0.965508436451704,0.965233404321835
"random","B | Ix=0.4",1,"GraphSAGE + LayerNorm",0.922311003824948,1.19851316672949,0.963266665012156,0.963050650164266
"random","B | Ix=0.4",2,"OLS",2.0171365048724,2.78029995737234,0.78242103619996,0.782388797269606
