"design","label","arm","mae_mean","mae_sd","rmse_mean","rmse_sd","rsq_mean","rsq_sd","rsq_trad_mean","rsq_trad_sd"
"block","A","GraphSAGE",0.803967215262146,0.00652498097295672,1.00896684446122,0.0138599072890672,0.347886688382456,0.0171738142322157,0.34516823949492,0.0178784031912076
"block","A","GraphSAGE + LayerNorm",0.81375271158314,0.00809607170340949,1.02064184674966,0.0134214909467741,0.331016713028522,0.0144150198889507,0.329988266694484,0.0149148592505494
"block","A","OLS",0.796679774937628,0.00415269213434701,0.998618807643182,0.0106691099194074,0.359327047520186,0.0183527392518759,0.358478303095922,0.0181957988529752
"block","A","XGBoost",0.91260885799311,0.00961727324803908,1.14524421571956,0.0129057591074485,0.225821002844741,0.0202737170916209,0.156067734693693,0.0315832864642454
"block","A","XGBoost + lags",0.892913055947131,0.00468708649096553,1.12373860131913,0.00683028707083074,0.238255614202766,0.0165456427745027,0.187605380742309,0.0227101166750707
"block","B | Ix=0.0","GraphSAGE",0.878976916910145,0.0223393629504904,1.11625314629959,0.0284296109816328,0.968039730123134,0.00192189515109036,0.96788281828071,0.00199365771557961
"block","B | Ix=0.0","GraphSAGE + LayerNorm",0.913258523487739,0.00918176592422926,1.16274643383571,0.0263720686002568,0.965419703245181,0.0018190496055054,0.965167444659047,0.00172250502047576
"block","B | Ix=0.0","OLS",2.06525352149737,0.0471933945085038,2.93489896024938,0.0777504909782812,0.779097000525164,0.0140327201781591,0.777990293490795,0.0135955899914722
"block","B | Ix=0.0","XGBoost",1.01871468374936,0.0176347089762842,1.2903291683425,0.0224847285711717,0.957193007250452,0.00288668971444786,0.957056681794158,0.00289220153389407
"block","B | Ix=0.0","XGBoost + lags",1.03089341049237,0.0152060600463199,1.32013197820292,0.0295855831286991,0.955266020988386,0.00216664840965022,0.955098726950016,0.00220567703650235
"block","B | Ix=0.4","GraphSAGE",0.904817312773732,0.0233240521652203,1.1492961924762,0.0295192013050807,0.964136498108638,0.00485419688478062,0.964015758199009,0.00485078040126847
"block","B | Ix=0.4","GraphSAGE + LayerNorm",0.936917451208849,0.0484194739431871,1.20551305139717,0.0718456695434614,0.960853571654062,0.00475411626692435,0.96056387352674,0.00467753767068976
"block","B | Ix=0.4","OLS",2.05809927586513,0.0918977886021009,2.89875786214976,0.138133429672301,0.775339687609962,0.0318171616360267,0.770913087745926,0.0357419039914538
"block","B | Ix=0.4","XGBoost",1.03439997131393,0.0248481357661964,1.3318418980556,0.0621526397300228,0.951945917414829,0.0059429931511902,0.95178430475687,0.00590384370008275
"block","B | Ix=0.4","XGBoost + lags",1.04486677154659,0.0350501080008852,1.3446349804357,0.0579360887777453,0.950993485041218,0.00583119704415847,0.95087589204658,0.00579386837372668
"block","B | Ix=0.7","GraphSAGE",0.933663101956973,0.0370756550232744,1.19176163842746,0.0551630147041549,0.9543274757447,0.0111625386453422,0.954046015776111,0.0110118845447714
"block","B | Ix=0.7","GraphSAGE + LayerNorm",0.992251077740419,0.0717486799716177,1.27817838885064,0.111797072041694,0.947801210966702,0.0139920401946069,0.947226426595553,0.0137309029770119
"block","B | Ix=0.7","OLS",2.06918117427711,0.200711071861887,2.8936640292238,0.322472589370655,0.755969991705813,0.0441393277588204,0.733614839102057,0.0501000417385122
"block","B | Ix=0.7","XGBoost",1.05329477145364,0.0530899005328453,1.35801016871953,0.0950625046142945,0.940336176018806,0.0177522866042394,0.939853558635735,0.0182694425130856
"block","B | Ix=0.7","XGBoost + lags",1.05966464470654,0.0515512159602026,1.3567779850534,0.0673930075295377,0.939925838483467,0.0185053189262337,0.939732382044044,0.0184629336026744
"block","C | Iu=0.0","GraphSAGE",0.804779352493773,0.0198928288118875,1.01032692434381,0.0217148651371508,0.342358024023312,0.0147045534457935,0.338342445321885,0.0113188043162221
"block","C | Iu=0.0","GraphSAGE + LayerNorm",0.812796024921022,0.021467288318874,1.01995855605421,0.0212632254085007,0.327521813753076,0.0214106837787664,0.325438919321241,0.0216169710053732
"block","C | Iu=0.0","OLS",0.794911523865458,0.0168076629331695,0.998136753661278,0.0195689491941865,0.354749553043688,0.0181854899061499,0.354039098568765,0.0179151723502325
"block","C | Iu=0.0","SEM",0.794912048090412,0.0168087095738274,0.998138335977772,0.0195704613535092,0.354749695846497,0.0181849765340801,0.354037170868514,0.0179115033839217
"block","C | Iu=0.0","XGBoost",0.90702622616408,0.0180292692256403,1.1414190629049,0.0116988222953984,0.227937282086454,0.0195999061029981,0.154699283684373,0.0361496884700584
"block","C | Iu=0.0","XGBoost + lags",0.880774530977893,0.0142828318977075,1.10864358240676,0.00949474158112467,0.250887477297692,0.0184772649018234,0.20264589753985,0.0310267492908096
"block","C | Iu=0.4","GraphSAGE",0.828349509412623,0.0251167147523541,1.0356793650067,0.0309152234544625,0.325558774945054,0.0216001318802147,0.29898633815016,0.0277530789141599
"block","C | Iu=0.4","GraphSAGE + LayerNorm",0.830015445480322,0.0202720905121389,1.03680554959732,0.0250490746614695,0.320941512754756,0.0140616237823682,0.297101254535057,0.0326372013070665
"block","C | Iu=0.4","OLS",0.80326716421421,0.0246630031710305,1.00333870526574,0.0296096388996042,0.360195812443235,0.0179476601863264,0.341552490661097,0.0391194532235959
"block","C | Iu=0.4","SEM",0.802518037496788,0.0241183535166668,1.00241933099853,0.0286022432051205,0.360352263939294,0.0178133895915227,0.342864208440886,0.0360214456110483
"block","C | Iu=0.4","XGBoost",0.914378078778082,0.00904356175603489,1.14369183996705,0.0168118127233354,0.231797193348827,0.0176091175014651,0.143891606675516,0.052759454842997
"block","C | Iu=0.4","XGBoost + lags",0.907027109303823,0.021852691882354,1.1346709291519,0.0302739635400656,0.235136962508673,0.0305532138423331,0.156720765381636,0.068547245322412
"block","C | Iu=0.8","GraphSAGE",0.956931718753446,0.131351665838158,1.19087818308014,0.140701141029069,0.217615669097866,0.0834917463805951,0.00555593791810848,0.138830034408569
"block","C | Iu=0.8","GraphSAGE + LayerNorm",0.924827047634065,0.10540894328858,1.15183213882789,0.1190756170835,0.261306696943568,0.104797871438778,0.057041702582913,0.193871674925157
"block","C | Iu=0.8","OLS",0.81191660118884,0.103032875999264,1.01434178046008,0.114844651359403,0.377392041494668,0.0710836600490408,0.280335446593538,0.0769603455946808
"block","C | Iu=0.8","SEM",0.811103788693922,0.107727411674701,1.01223898970428,0.121488782355053,0.377730704244114,0.0715268266959117,0.284777252858936,0.0698990153652612
"block","C | Iu=0.8","XGBoost",0.938745383956119,0.0847461444279061,1.17164644909806,0.0968135702936379,0.222156764853729,0.0425159375673815,0.037540697111072,0.0720679064489674
"block","C | Iu=0.8","XGBoost + lags",0.91978157217243,0.0750281473986206,1.14879718808641,0.0870324708506029,0.241224037006514,0.0417222651821973,0.074004526612681,0.0668561305535278
"block","D | Iu=0.0 Ix=0.4","GraphSAGE",0.87063016075642,0.0153007647947382,1.09629380655036,0.0221451652499429,0.937673698522887,0.00380375838135803,0.937274880193712,0.00391490687146535
"block","D | Iu=0.0 Ix=0.4","GraphSAGE + LayerNorm",0.874234366084861,0.0180793962087605,1.10685692868284,0.0201766468870696,0.936222775429725,0.00324946562842655,0.936094108181828,0.00327301087862837
"block","D | Iu=0.0 Ix=0.4","OLS",2.38007751585706,0.0806583044593189,3.23531797761226,0.129101934169172,0.456485286744623,0.0184882542158934,0.454887715034438,0.0184832043410342
"block","D | Iu=0.0 Ix=0.4","SEM",2.37951560975242,0.0811459147353184,3.23516508479901,0.129436720285398,0.456522761549184,0.0184798473962258,0.454944255976483,0.0184376516840306
"block","D | Iu=0.0 Ix=0.4","XGBoost",1.00334422231668,0.0318776089132132,1.29543790684378,0.0471590594052577,0.913097902692329,0.00567281570094467,0.912454051890133,0.0061882828115783
"block","D | Iu=0.0 Ix=0.4","XGBoost + lags",0.99997503120668,0.0348833208267759,1.28691303502831,0.0501803469724172,0.914214886242794,0.0048976282600713,0.913648740860671,0.00544640478795725
"block","D | Iu=0.4 Ix=0.4","GraphSAGE",0.898954701893627,0.01550255463012,1.12400570145224,0.0187246024930404,0.935665662894152,0.00499965592309164,0.933726986814587,0.00584979499917536
"block","D | Iu=0.4 Ix=0.4","GraphSAGE + LayerNorm",0.897688525489955,0.0194499836131912,1.12948415967019,0.0256936387489815,0.934516047320131,0.00548782088363921,0.933104408980725,0.00566123092595233
"block","D | Iu=0.4 Ix=0.4","OLS",2.38037690008064,0.11649718771378,3.226455735468,0.141484736003059,0.457526236173966,0.0204307304445015,0.456078322581011,0.0205907189628439
"block","D | Iu=0.4 Ix=0.4","SEM",2.37919329191297,0.11639105762796,3.22641694078942,0.141339158957205,0.457515247957872,0.0203815430732558,0.456094750190875,0.0204208490591728
"block","D | Iu=0.4 Ix=0.4","XGBoost",1.01002000361979,0.016812773570354,1.30293270538265,0.0329850332863278,0.913059828700561,0.00446058337518947,0.911141234555172,0.00501130440992249
"block","D | Iu=0.4 Ix=0.4","XGBoost + lags",1.0121159042052,0.0196818816732506,1.2958194007577,0.032779452748354,0.913516942872775,0.00592394221713269,0.912001957281277,0.00689039589913317
"block","D | Iu=0.8 Ix=0.7","GraphSAGE",0.959734762908802,0.145297566193067,1.20813392566003,0.181562115227485,0.937764526410168,0.0155201829325192,0.927665905656202,0.0158222847164562
"block","D | Iu=0.8 Ix=0.7","GraphSAGE + LayerNorm",0.982117935980883,0.129364598757495,1.25519202503205,0.157803709239197,0.932354386900912,0.0187307467423948,0.921204995544519,0.0188030924221274
"block","D | Iu=0.8 Ix=0.7","OLS",2.56026218981802,0.344530144633316,3.54942026163419,0.736736813054948,0.417934605734836,0.0858619330422262,0.386189859466581,0.126607433000599
"block","D | Iu=0.8 Ix=0.7","SEM",2.52527411629891,0.37205243239369,3.51709297487717,0.785503533393658,0.428322981791355,0.09514564818548,0.397516967831355,0.142194321721147
"block","D | Iu=0.8 Ix=0.7","XGBoost",1.04812886229295,0.118927536040125,1.38980938939393,0.243493529104475,0.913474142513913,0.012671182559756,0.90529583471729,0.0164380382114591
"block","D | Iu=0.8 Ix=0.7","XGBoost + lags",1.05689498363835,0.131239679150411,1.3948981678862,0.224226996931146,0.912797223860405,0.011750850103132,0.904381493448168,0.0157148488085656
"block","E | Ix=0.0","GraphSAGE",0.837115888361549,0.017795361485475,1.05365587141905,0.0211668402753761,0.432799404573178,0.0158922574162625,0.429337560238154,0.0165699585271305
"block","E | Ix=0.0","GraphSAGE + LayerNorm",0.85103908228441,0.0227309168796985,1.07015696168274,0.0263308360807031,0.413937198278147,0.0154830151184533,0.411419970722795,0.017214731941193
"block","E | Ix=0.0","OLS",0.939540738268719,0.0280837787263161,1.18145847334199,0.0313137283983872,0.284797120733843,0.0169494422655579,0.282736963560966,0.0182584288731607
"block","E | Ix=0.0","XGBoost",1.07058993094552,0.0244364299369507,1.34738815397431,0.0323928427641795,0.162934269952118,0.0188956351611463,0.0667478148354054,0.0341600829532731
"block","E | Ix=0.0","XGBoost + lags",0.927531250157312,0.0199498258869892,1.17175692431822,0.0226655174933664,0.334387937600085,0.0164279827732183,0.294238199159488,0.0197709068885668
"block","E | Ix=0.4","GraphSAGE",0.812577253890449,0.0152583702157409,1.01828432635077,0.0174646786896954,0.510331938118527,0.0385965359766116,0.508735478554169,0.0380706613985599
"block","E | Ix=0.4","GraphSAGE + LayerNorm",0.821647224885216,0.0182562361492993,1.0316540819846,0.0199974370273026,0.498119081977605,0.0379565114656259,0.495836740926679,0.0382759863363603
"block","E | Ix=0.4","OLS",0.880416782773503,0.0180959107010336,1.10861710429821,0.0213237438417055,0.422170666380287,0.0461696938060767,0.417733182473776,0.0458739909699715
"block","E | Ix=0.4","XGBoost",1.01267193381871,0.0183037912376463,1.27427219664671,0.0260552893923695,0.290994846199428,0.0313335251310509,0.231162238095479,0.0544521285631655
"block","E | Ix=0.4","XGBoost + lags",0.910483936969846,0.0161862167185474,1.14294526075282,0.0184409661894957,0.407041458575578,0.0463038004809033,0.380560299582416,0.0552250205076656
"random","A","GraphSAGE",0.80119131731454,0.0159792551630268,1.00548439418285,0.0220653489923651,0.35248908406977,0.0347655871198707,0.349199937353278,0.0362461317226225
"random","A","GraphSAGE + LayerNorm",0.812283543145654,0.0133840378928347,1.01860842992873,0.0168510599093745,0.333753578972017,0.0322854962775768,0.332170579447747,0.0327840835311947
